running on 6718 samples
training model...
trained model...
sample 626 correct, score = 0.352117
sample 627 correct, score = 0.275864
sample 628 correct, score = 0.399515
sample 629 incorrect/failed threshold, score = 0.566860
sample 630 correct, score = 0.409857
sample 631 correct/failed threshold, score = 0.559015
sample 632 correct, score = 0.274399
sample 633 incorrect/failed threshold, score = 0.636088
sample 634 correct/failed threshold, score = 0.533607
sample 635 correct/failed threshold, score = 0.456023
sample 636 incorrect/failed threshold, score = 0.616491
sample 637 incorrect/failed threshold, score = 0.501599
sample 638 incorrect/failed threshold, score = 0.687109
sample 639 incorrect/failed threshold, score = 0.641582
sample 640 correct/failed threshold, score = 0.454909
sample 641 correct, score = 0.347269
sample 642 correct/failed threshold, score = 0.450789
sample 643 correct/failed threshold, score = 0.587286
sample 644 correct, score = 0.394609
sample 645 incorrect/failed threshold, score = 0.575167
sample 646 correct, score = 0.300540
sample 647 correct/failed threshold, score = 0.483996
sample 648 correct, score = 0.418705
sample 649 correct, score = 0.266445
sample 650 incorrect/failed threshold, score = 0.619726
sample 651 incorrect/failed threshold, score = 0.499585
sample 652 tone not detected, 1 false positives, score = 0.392320
sample 653 incorrect/failed threshold, score = 0.654396
sample 654 correct, score = 0.324027
sample 655 correct/failed threshold, score = 0.479456
sample 656 correct, score = 0.204301
sample 657 correct, score = 0.359516
sample 658 correct, score = 0.391733
sample 659 correct, score = 0.335499
sample 660 correct/failed threshold, score = 0.476026
sample 661 correct, score = 0.245935
sample 662 incorrect/failed threshold, score = 0.591265
sample 663 incorrect/failed threshold, score = 0.651937
sample 664 correct/failed threshold, score = 0.580511
sample 665 correct, score = 0.394594
sample 666 incorrect/failed threshold, score = 0.663587
sample 667 incorrect/failed threshold, score = 0.629726
sample 668 correct/failed threshold, score = 0.473121
sample 669 incorrect/failed threshold, score = 0.658387
sample 670 incorrect/failed threshold, score = 0.572957
sample 671 incorrect/failed threshold, score = 0.541203
sample 672 correct/failed threshold, score = 0.549079
sample 673 incorrect/failed threshold, score = 0.691930
sample 674 incorrect/failed threshold, score = 0.623994
sample 675 incorrect/failed threshold, score = 0.637960
sample 676 correct, score = 0.186940
sample 677 correct/failed threshold, score = 0.484196
sample 678 correct, score = 0.247478
sample 679 correct/failed threshold, score = 0.443980
sample 680 incorrect/failed threshold, score = 0.523408
sample 681 correct, score = 0.352340
sample 682 correct/failed threshold, score = 0.544477
