running on 6718 samples
training model...
trained model...
sample 511 correct/failed threshold, score = 0.514100
sample 512 correct/failed threshold, score = 0.476080
sample 513 correct/failed threshold, score = 0.687828
sample 514 correct/failed threshold, score = 0.436593
sample 515 correct/failed threshold, score = 0.570202
sample 516 correct, score = 0.374470
sample 517 correct/failed threshold, score = 0.450816
sample 518 correct/failed threshold, score = 0.421094
sample 519 correct/failed threshold, score = 0.583585
sample 520 correct, score = 0.359315
sample 521 correct/failed threshold, score = 0.458996
sample 522 correct, score = 0.174432
sample 523 correct/failed threshold, score = 0.493512
sample 524 incorrect/failed threshold, score = 0.660793
sample 525 correct/failed threshold, score = 0.391247
sample 526 incorrect/failed threshold, score = 1.076585
sample 527 incorrect/failed threshold, score = 1.028405
sample 528 incorrect/failed threshold, score = 0.712703
sample 529 correct, score = 0.287187
sample 530 correct/failed threshold, score = 0.523604
sample 531 correct/failed threshold, score = 0.676657
sample 532 correct/failed threshold, score = 0.479008
sample 533 correct/failed threshold, score = 0.616585
sample 534 correct/failed threshold, score = 0.400091
sample 535 correct/failed threshold, score = 0.549011
sample 536 correct, score = 0.224075
sample 537 correct/failed threshold, score = 0.509874
sample 538 correct/failed threshold, score = 0.592276
sample 539 correct, score = 0.377792
sample 540 incorrect/failed threshold, score = 1.165454
sample 541 incorrect/failed threshold, score = 1.041868
sample 542 incorrect/failed threshold, score = 0.730989
sample 543 correct, score = 0.200408
sample 544 incorrect/failed threshold, score = 0.624094
sample 545 correct/failed threshold, score = 0.575606
sample 546 correct/failed threshold, score = 0.385809
sample 547 incorrect/failed threshold, score = 1.068354
sample 548 correct/failed threshold, score = 0.583122
sample 549 correct/failed threshold, score = 0.547558
sample 550 correct/failed threshold, score = 0.567510
sample 551 correct/failed threshold, score = 0.392809
sample 552 correct, score = 0.326798
sample 553 correct/failed threshold, score = 0.503786
sample 554 incorrect/failed threshold, score = 0.673622
sample 555 correct/failed threshold, score = 0.596172
sample 556 correct/failed threshold, score = 0.387729
sample 557 correct, score = 0.261186
sample 558 correct, score = 0.275126
sample 559 correct/failed threshold, score = 0.602390
sample 560 incorrect/failed threshold, score = 1.377172
sample 561 incorrect/failed threshold, score = 1.132735
sample 562 correct, score = 0.236955
sample 563 correct/failed threshold, score = 0.493244
sample 564 correct, score = 0.338465
sample 565 correct, score = 0.338173
sample 566 correct, score = 0.330509
sample 567 correct/failed threshold, score = 0.451390
sample 568 incorrect/failed threshold, score = 1.295485
sample 569 correct/failed threshold, score = 0.510200
sample 570 correct/failed threshold, score = 0.505971
sample 571 correct/failed threshold, score = 0.437202
sample 572 correct/failed threshold, score = 0.570883
