running on 6718 samples
training model...
trained model...
sample 734 incorrect/failed threshold, score = 0.722686
sample 735 correct, score = 0.479450
sample 736 correct, score = 0.402572
sample 737 incorrect/failed threshold, score = 0.792481
sample 738 correct, score = 0.468497
sample 739 incorrect/failed threshold, score = 0.752828
sample 740 correct, score = 0.442007
sample 741 incorrect/failed threshold, score = 1.011506
sample 742 correct, score = 0.594923
sample 743 correct, score = 0.620683
sample 744 correct, score = 0.460258
sample 745 correct, score = 0.540862
sample 746 no tones detected, score = 0.665915
sample 747 correct, score = 0.273948
sample 748 correct/failed threshold, score = 0.721019
sample 749 correct, score = 0.556721
sample 750 correct, score = 0.454598
sample 751 correct, score = 0.641126
sample 752 incorrect/failed threshold, score = 1.025116
sample 753 incorrect/failed threshold, score = 1.226141
sample 754 correct, score = 0.411718
sample 755 correct, score = 0.412933
sample 756 correct, score = 0.361676
sample 757 incorrect/failed threshold, score = 0.732373
sample 758 correct, score = 0.274787
sample 759 correct, score = 0.570592
sample 760 correct, score = 0.281608
sample 761 correct, score = 0.673088
sample 762 correct, score = 0.520005
sample 763 correct, score = 0.546541
sample 764 correct, score = 0.448432
sample 765 correct, score = 0.530400
sample 766 correct, score = 0.250474
sample 767 correct, score = 0.302427
